           RA_1          DEC_1      r_k20fe_1      h_m_k20fe         k_ba_1         k_pa_1     distance_1         Separation_1             RA            DEC     distance_2          H_mag
              E              E              E              E              E              E              E                    D              E              E              E              E
                                                                                                                        arcsec                                                            
   2.825218E+01  -1.373868E+01   9.050000E+01   7.634000E+00   5.500000E-01  -4.000000E+01   2.030000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.983159E+01   1.900754E+01   1.052000E+02   7.707000E+00   8.000000E-01  -4.500000E+01   3.260000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.032055E+01   2.883726E+01   5.040000E+01   1.142000E+01   2.800000E-01   2.500000E+00   4.700000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.171457E+01   4.457291E+01   5.180000E+01   1.011900E+01   2.800000E-01  -2.250000E+01   6.063300E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.351505E+01   2.787717E+01   4.160000E+01   1.038000E+01   5.000000E-01   6.700000E+01   9.730000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.386517E+01   6.002620E+00   6.180000E+01   9.059000E+00   9.400000E-01   4.750000E+01   2.000000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.563711E+01   4.234832E+01   2.254000E+02   6.434000E+00   2.400000E-01   2.500000E+01   9.600000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.576904E+01  -2.123385E+01   1.289000E+02   7.621000E+00   5.500000E-01   8.750000E+01   1.780000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.616923E+01  -1.914203E+01   2.170000E+01   1.085800E+01   8.200000E-01   0.000000E+00   1.017500E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.682047E+01   3.357888E+01   1.119000E+02   8.811000E+00   4.400000E-01  -7.500000E+01   9.400000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.690609E+01  -1.156280E+00   1.065000E+02   7.265000E+00   8.500000E-01  -7.500000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.839312E+01  -3.904506E+01   8.930000E+01   8.188000E+00   5.700000E-01   5.250000E+01   2.320000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.865784E+01  -8.788060E+00   1.550000E+01   1.118100E+01   7.000000E-01   7.750000E+01   1.750000E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.906730E+01   2.542382E+01   6.260000E+01   1.071500E+01   3.200000E-01  -4.700000E+01   1.070000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.914779E+01   5.965459E+01   2.353000E+02   5.209000E+00   6.800000E-01   8.050000E+01   3.600000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.963658E+01  -6.677550E+00   5.220000E+01   8.905000E+00   8.700000E-01   8.500000E+01   1.850000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   3.982039E+01   4.087229E+01   6.870000E+01   9.888000E+00   4.900000E-01   8.700000E+01   1.070000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.010005E+01   3.906325E+01   1.810000E+02   6.582000E+00   3.800000E-01   8.200000E+01   1.050000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.043847E+01   4.431800E-01   1.142000E+02   7.699000E+00   4.800000E-01  -7.750000E+01   1.260000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.047927E+01   5.960423E+01   2.764000E+02   5.883000E+00   4.600000E-01   3.500000E+01   3.400000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.066988E+01  -1.329000E-02   9.500000E+01   6.286000E+00   8.200000E-01   1.250000E+01   1.440000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.091916E+01   1.375870E+00   5.770000E+01   9.871000E+00   7.200000E-01   4.250000E+01   1.520000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.149969E+01  -7.578640E+00   6.750000E+01   8.294000E+00   6.200000E-01   4.000000E+01   1.710000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.157941E+01  -3.027491E+01   1.576000E+02   6.717000E+00   5.500000E-01  -3.500000E+01   1.450000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.291861E+01  -1.665077E+01   4.090000E+01   1.013700E+01   3.400000E-01   5.000000E+01   4.300000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.379618E+01   5.190716E+01   4.550000E+01   9.985000E+00   3.400000E-01   1.000000E+01   5.835000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.380111E+01  -1.838400E-01   5.090000E+01   9.517000E+00   4.400000E-01  -6.000000E+01   1.150000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.420684E+01  -5.457629E+01   1.560000E+01   1.332900E+01   1.000000E+00   9.000000E+01   5.400000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.421523E+01   5.891156E+01   7.750000E+01   9.914000E+00   4.000000E-01  -6.300000E+01   3.672000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.530903E+01   4.489721E+01   6.330000E+01   7.832000E+00   7.500000E-01   2.050000E+01   2.700000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.565661E+01  -2.286716E+01   8.610000E+01   8.600000E+00   5.500000E-01  -5.250000E+01   1.630000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   4.637880E+01   4.283542E+01   7.600000E+01   8.865000E+00   4.000000E-01  -6.050000E+01   3.216700E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
