     RAJ2000     DEJ2000     Jmag     Kmag
       F10.6       F10.6     F6.3     F6.3
         deg         deg      mag      mag
   48.615581   89.950653   16.813   16.883
   51.362085   89.667679   15.734   14.600
   50.740757   89.705948   15.756   15.217
   51.813057   89.720551   14.927   13.944
   52.289021   89.746475   16.910   15.452
   53.197314   89.704697   18.617   15.184
   53.579055   89.735527   16.672   15.691
   52.254324   89.754410   15.535   14.851
   53.668643   89.783531   16.519   16.089
   54.389132   89.776909   16.301   15.005
   52.542787   89.847115   16.706   15.754
   53.359313   89.874519   15.859   15.358
   54.045070   89.858040   14.911   14.390
   54.660080   89.844765   15.238   14.631
   50.603289   89.884422   16.158   15.063
   53.215497   89.925583   16.774   15.494
   53.641543   89.916092   17.906   14.906
   56.265006   89.714043   15.525   14.540
   56.258371   89.702469   15.174   14.266
   57.664361   89.713745   16.556   16.757
   57.726430   89.718498   16.908   15.111
   58.864825   89.703453   15.929   16.057
   55.236314   89.761086   15.240   14.691
   59.055181   89.780464   16.671   15.589
   59.744872   89.801605   16.538   15.749
   59.739728   89.802200   16.609   15.479
   56.510315   89.856361   14.382   14.197
   59.137491   89.830315   16.672   15.712
   59.814110   89.872696   15.271   14.542
   57.551927   89.894135   16.989   14.776
   58.801980   89.904961   15.055   14.428
   59.022094   89.916817   16.895   15.891
   64.887924   89.679070   16.877   15.610
   60.691593   89.715355   15.890   15.430
   64.414976   89.710197   14.650   14.375
   64.805742   89.731743   16.603   16.438
   64.982631   89.734207   16.585   15.565
   62.287668   89.798622   16.124   15.332
   63.851282   89.769653   16.537   17.050
   64.226465   89.803726   17.985   14.954
   60.086734   89.871834   15.957   14.847
   61.561779   89.831909   15.854   14.777
   61.783601   89.906288   16.471   15.519
   62.290340   89.950264   18.269   16.762
   66.571458   89.671875   16.125   15.526
   65.279902   89.702148   16.241   14.553
   66.114191   89.705070   16.532   15.058
   66.235759   89.735359   18.072   14.717
   66.478557   89.714363   15.653   14.606
   68.113455   89.724968   16.863   15.881
   69.760431   89.710968   15.953   15.091
   65.043903   89.781013   18.083   14.807
   65.158500   89.767838   15.908   15.152
   65.859333   89.809425   16.593   17.044
   69.693201   89.805885   16.370   15.297
   67.966459   89.819633   17.143   15.962
   66.293728   89.919174   15.429   14.910
   69.521788   89.936272   15.331   14.893
   69.984375   89.896858   15.187   14.804
   65.306708   89.940643   15.917   14.650
   66.939183   89.946655   16.406   15.341
   67.239110   89.957741   16.173   15.565
   67.789591   89.949379   16.246   15.673
   70.656179   89.683517   14.110   13.299
   70.199119   89.748520   16.789   15.618
   70.491418   89.737221   14.602   13.749
   70.714844   89.733978   15.156   14.478
   71.695764   89.695671   14.597   14.220
   72.910975   89.691345   14.968   14.231
   74.195766   89.721771   16.445   15.775
   70.022885   89.770119   14.971   14.187
   70.755411   89.779449   16.757   15.467
   71.733038   89.772125   16.307   15.824
   71.703936   89.757896   16.705   15.496
   72.317713   89.771042   16.615   17.170
   72.460169   89.872742   15.256   15.046
   72.869683   89.823631   16.295   15.775
   74.385551   89.814713   16.692   15.374
   71.014472   89.923927   16.828   16.378
   74.892309   89.882111   18.390   14.930
   74.304832   89.979912   16.703   16.318
   77.955994   89.678345   15.223   14.614
   78.820487   89.669304   16.307   15.230
   75.587500   89.712433   16.164   15.487
   76.509934   89.695862   14.556   14.060
   76.642551   89.714912   16.453   16.445
   77.597912   89.724457   15.903   14.783
   77.587726   89.730225   15.838   15.353
   77.571543   89.713898   13.811   13.245
   78.707925   89.716835   17.771   15.254
   79.454537   89.726303   16.652   15.430
   75.612644   89.753326   16.024   15.328
   75.588686   89.763260   16.577   16.743
   77.766356   89.788857   14.769   14.308
   78.455040   89.800522   18.706   15.147
   79.145222   89.776344   15.597   14.389
   75.056431   89.841255   14.519   14.252
   75.951364   89.833961   14.894   14.537
   77.830108   89.826019   15.418   14.915
   75.361442   89.921143   16.437   15.336
   78.032790   89.917084   18.575   16.546
   78.661743   89.900078   16.252   15.303
   75.017831   89.942291   16.101   15.150
   78.158658   89.989044   15.715   14.672
   78.403255   89.985268   18.600   15.078
   79.221887   89.972488   16.056   15.353
   81.728393   89.670204   16.820   15.704
