

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T09:58:42PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
97|MUNICS S4F1-0296| 48.72292 |   0.10619 |G|287801| 0.960000 |PHOT|24.6V|  0.000|1|0|6|1|0|0|0
98|MUNICS S4F1-0615| 48.72425 |   0.18178 |G|329772| 1.100000 |PHOT|25.8V|  0.000|1|0|6|1|0|0|0
99|MUNICS S4F1-0120| 48.72492 |   0.05500 |G|281805| 0.940000 |PHOT|25.3V|  0.000|1|0|6|1|0|0|0
100|MUNICS S4F1-0360| 48.72571 |   0.12378 |G|665539| 2.220000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
101|MUNICS S4F1-0625| 48.73675 |   0.18528 |G|377739| 1.260000 |PHOT|26.8B|  0.000|1|0|5|1|0|0|0
102|MUNICS S4F1-0344| 48.73825 |   0.11936 |G|227842| 0.760000 |PHOT|25.0V|  0.000|1|0|6|1|0|0|0
103|MUNICS S4F1-0271| 48.74133 |   0.10044 |G|281805| 0.940000 |PHOT|26.0V|  0.000|1|0|5|1|0|0|0
104|MUNICS S4F1-0712| 48.74779 |   0.20583 |G| 41971| 0.140000 |PHOT|22.5V|  0.000|1|0|6|1|0|0|0
105|SDSS J031459.82+001029.2| 48.74928 |   0.17478 |VisS|161888| 0.540000 |PHOT|21.7g|  0.000|1|0|11|2|0|4|0
106|MUNICS S4F1-0102| 48.76146 |   0.04861 |G|107925| 0.360000 |PHOT|23.7V|  0.000|1|0|6|1|0|0|0
107|MUNICS S4F1-0294| 48.76746 |   0.10497 |G|725498| 2.420000 |PHOT|27.3V|  0.000|1|0|6|1|0|0|0
108|MUNICS S4F1-0129| 48.78954 |   0.05689 |G|209855| 0.700000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
109|MUNICS S4F1-0293| 48.82525 |   0.10394 |G|305788| 1.020000 |PHOT|26.2V|  0.000|1|0|5|1|0|0|0
110|SDSS J031518.51+000452.0| 48.82714 |   0.08111 |G|251826| 0.840000 |PHOT|23.5g|  0.000|1|0|21|2|0|3|0
111|MUNICS S4F1-0306| 48.84458 |   0.10661 |G|275809| 0.920000 |PHOT|26.1V|  0.000|1|0|6|1|0|0|0
112|[KLS2007] 047A| 48.91125 | -55.17889 |G|269813| 0.900000 |1LIN|23.9R|  0.000|2|1|3|0|1|0|0
113|2XMM J031549.6-550906| 48.95708 | -55.15222 |G|319279| 1.065000 |    |22.62|  0.000|3|0|3|0|1|0|0
114|XMMU J031622.3-551217| 49.09333 | -55.20500 |VisS||||     |  0.000|1|0|2|0|0|0|0
115|[KLS2007] 632B| 49.10292 | -55.36222 |G|295895| 0.987000 |    |22.9R|  0.000|1|0|2|0|1|0|0
116|XMMU J031625.3-550839| 49.10542 | -55.14417 |G|758775| 2.531000 |    |19.0K|  0.000|2|0|3|0|1|0|0
117|[KLS2007] 06MA| 49.16500 | -55.31389 |G|147198| 0.491000 |    |21.8R|  0.000|1|0|2|0|1|0|0
118|COMBO-17 45633| 52.93518 | -27.70338 |G|249128| 0.831000 |PHOT|23.9R|  0.000|12|0|34|0|2|0|1
119|MUSYC ECDFS-06842| 52.96335 | -27.84887 |G|719502| 2.400000 |PHOT|24.4R|  0.000|3|0|3|0|0|0|0
120|COMBO-17 30814| 53.03562 | -27.81966 |G|411016| 1.371000 |:   |24.9R|  0.000|16|0|44|0|7|0|0
121|SWIRE J033210.93-274415.3| 53.04550 | -27.73756 |G|481467| 1.606000 |    |22.5R|  0.000|67|0|123|0|17|0|0
122|COMBO-17 43403| 53.04805 | -27.71969 |G|398424| 1.329000 |:   |24.6R|  0.000|10|0|50|0|9|0|1
123|COMBO-17 38597| 53.05130 | -27.75756 |G|203859| 0.680000 |    |23.1R|  0.000|16|0|56|0|8|0|0
124|FIREWORKS 6194| 53.05225 | -27.77473 |G|481167| 1.605000 |    |18.7K|  0.000|20|0|24|0|6|0|0
125|COMBO-17 33923| 53.06196 | -27.79403 |G|220347| 0.735000 |    |22.80|  0.000|20|0|47|0|8|0|0
126|COMBO-17 46599| 53.06552 | -27.69633 |*|     0| 0.000000 |    |21.4R|  0.000|10|0|46|0|4|0|0
127|COMBO-17 33626| 53.06631 | -27.79721 |G|203259| 0.678000 |    |22.7R|  0.000|18|0|50|0|7|0|0
128|GOODS-CDFS-MUSIC 03490| 53.06739 | -27.87814 |G|327973| 1.094000 |    |25.0V|  0.000|5|0|2|0|3|0|0
129|COMBO-17 39919| 53.06887 | -27.74700 |G|292298| 0.975000 |    |23.7R|  0.000|23|0|59|0|11|0|0
130|EIS J033216.75-274327.7| 53.06979 | -27.72436 |G|157091| 0.524000 |    |22.3R|  0.000|31|0|79|0|11|0|0
131|COMBO-17 35622| 53.07179 | -27.78039 |G|220647| 0.736000 |    |23.13|  0.000|16|0|44|0|7|0|0
132|COMBO-17 32860| 53.07348 | -27.80326 |G|220347| 0.735000 |    |24.1R|  0.000|24|0|60|0|10|0|0
133|COMBO-17 30563| 53.07787 | -27.82223 |G|311185| 1.038000 |    |24.1R|  0.000|16|0|60|0|8|0|0
134|COMBO-17 33728| 53.07831 | -27.79566 |G|220347| 0.735000 |    |23.5R|  0.000|15|0|44|0|7|0|0
135|COMBO-17 40198| 53.07995 | -27.74613 |G| 65025| 0.216900 |    |21.1R|  0.000|23|0|76|0|11|0|0
136|EIS J033219.27-274856.2| 53.08029 | -27.81559 |G|203859| 0.680000 |    |22.8R|  0.000|15|0|49|0|10|0|0
137|COMBO-17 40896| 53.08385 | -27.73950 |G|364847| 1.217000 |    |23.7R|  0.000|20|0|61|0|9|0|0
138|COMBO-17 42732| 53.09592 | -27.72537 |G|221846| 0.740000 |    |23.4R|  0.000|16|0|56|0|9|0|0
139|COMBO-17 37653| 53.09646 | -27.76516 |G|366646| 1.223000 |    |23.4R|  0.000|30|0|78|0|11|0|0
140|COMBO-17 23035| 53.09958 | -27.88300 |G|345361| 1.152000 |PHOT|24.6R|  0.000|13|0|39|0|6|0|0
141|COMBO-17 36727| 53.10329 | -27.77161 |G|391529| 1.306000 |    |25.1R|  0.000|36|0|50|0|9|0|0
142|FIREWORKS 4858| 53.10489 | -27.70524 |G|484764| 1.617000 |    |23.5V|  0.000|2|0|24|0|2|0|0
143|FIREWORKS 5466| 53.10733 | -27.72972 |G|377739| 1.260000 |PHOT|23.0z|  0.000|10|0|34|0|5|0|0
144|COMBO-17 45326| 53.10938 | -27.70626 |G|200441| 0.668600 |:   |22.9R|  0.000|21|1|62|0|9|0|0
145|COMBO-17 37721| 53.10942 | -27.76407 |G|359751| 1.200000 |    |24.5R|  0.000|26|0|62|0|8|0|0
146|COMBO-17 35303| 53.11129 | -27.78314 |G|220647| 0.736000 |    |23.14|  0.000|15|0|44|0|7|0|0
147|COMBO-17 41570| 53.11262 | -27.73529 |G|338166| 1.128000 |    |24.0R|  0.000|22|0|75|0|10|0|0
148|COMBO-17 22370| 53.11273 | -27.88842 |G|330671| 1.103000 |    |23.6R|  0.000|19|0|68|0|10|0|0
149|COMBO-17 37304| 53.11388 | -27.76751 |G|200261| 0.668000 |    |23.4R|  0.000|9|0|39|0|6|0|0
150|COMBO-17 17543| 53.11597 | -27.93026 |G|199134| 0.664240 |    |22.3R|  0.000|14|0|55|0|9|0|0
151|COMBO-17 46882| 53.11603 | -27.69351 |G|312684| 1.043000 |    |24.1R|  0.000|18|0|68|0|10|0|0
152|COMBO-17 25144| 53.12030 | -27.86626 |G|138504| 0.462000 |PHOT|22.6R|  0.000|11|0|43|0|2|0|0
153|ERG 1955| 53.12383 | -27.73631 |G|353755| 1.180000 |    |22.3R|  0.000|9|0|44|0|3|0|1
154|COMBO-17 34276| 53.12529 | -27.79086 |G|464678| 1.550000 |    |24.61|  0.000|28|0|75|0|11|0|0
155|EIS J033230.23-274504.8| 53.12586 | -27.75136 |G| 87240| 0.291000 |    |22.1R|  0.000|55|1|99|0|16|0|0
156|MUSYC CDFS-6202| 53.13125 | -27.77306 |G|667038| 2.225000 |1LIN|23.6R|  0.000|6|0|3|0|0|0|0
157|COMBO-17 29272| 53.13253 | -27.83289 |G|293797| 0.980000 |    |22.7R|  0.000|19|0|54|0|8|0|0
158|GMASS 1952| 53.14435 | -27.73556 |G|386133| 1.288000 |PHOT|24.9R|  0.000|18|0|62|0|7|0|0
159|GMASS 2196| 53.15263 | -27.71620 |G|483865| 1.614000 |    |26.4V|  0.000|19|0|38|0|6|0|0
160|COMBO-17 27587| 53.16110 | -27.84634 |G|155892| 0.520000 |    |22.0R|  0.000|12|0|41|0|7|0|0
161|EIS J033239.70-275507.3| 53.16541 | -27.91864 |G|109754| 0.366100 |    |21.6R|  0.000|15|0|69|0|8|0|0
162|COMBO-17 25138| 53.17034 | -27.86666 |G|105827| 0.353000 |    |21.8R|  0.000|12|0|47|0|5|0|0
163|COMBO-17 35597| 53.17262 | -27.78100 |G|209855| 0.700000 |PHOT|22.8R|  0.000|27|0|70|0|10|0|0
164|FIREWORKS 5303| 53.17381 | -27.72449 |G|239204| 0.797900 |    |23.2R|  0.000|26|0|51|0|10|0|0
165|COMBO-17 46325| 53.17663 | -27.69814 |G|203259| 0.678000 |    |23.1R|  0.000|14|0|53|0|9|0|0
166|EIS J033242.62-275454.0| 53.17751 | -27.91493 |G|     0| 0.000000 |    |21.1R|  0.000|13|0|46|0|5|0|0
167|COMBO-17 39148| 53.19528 | -27.75379 |G|251226| 0.838000 |:   |23.5R|  0.000|18|0|64|0|8|0|0
168|COMBO-17 38496| 53.20352 | -27.75875 |G| 82863| 0.276400 |    |21.9R|  0.000|15|0|49|0|6|0|0
169|COMBO-17 28641| 53.20430 | -27.83767 |G|282105| 0.941000 |    |24.2R|  0.000|19|0|55|0|10|0|0
170|COMBO-17 36414| 53.20636 | -27.77501 |G|156830| 0.523130 |    |21.8R|  0.000|21|2|52|0|9|0|0
171|COMBO-17 19981| 53.21130 | -27.90831 |G|470974| 1.571000 |PHOT|25.2R|  0.000|11|0|49|0|6|0|0
172|COMBO-17 17574| 53.21368 | -27.92798 |G|285702| 0.953000 |PHOT|25.1R|  0.000|9|0|43|0|3|0|1
173|COMBO-17 21494| 53.23198 | -27.89602 |G|219871| 0.733410 | ?  |24.2R|  0.000|12|0|48|0|6|0|0
174|MCXC J0443.1+0210| 70.79046 |   2.17185 |GClstr| 56961| 0.190000 |    |17.03|  0.000|78|3|6|1|4|0|0
175|PMN J0633-2333| 98.30354 | -23.55250 |QSO|877792| 2.928000 |    |21.5 |  0.000|10|0|8|1|0|0|0
176|[RMN2011] 1525|132.13754 |  44.91998 |G||||25.0R|  0.000|2|0|7|0|0|0|0
177|[RMN2011] 5602|132.25133 |  44.87066 |G||||25.5R|  0.000|2|0|7|0|0|0|0
178|[RMN2011] 8041|132.25633 |  44.84715 |G||||23.6i|  0.000|2|0|4|0|0|0|0
179|SDSS J090003.32+223407.7|135.01384 |  22.56881 |G_Lens||||20.6g|  0.000|3|0|28|1|0|4|0
180|MUNICS S3F5-0806|135.83308 |  30.08736 |VisS|179876| 0.600000 |PHOT|23.6V|  0.000|1|0|6|1|0|0|0
181|MUNICS S3F5-1017|135.84108 |  30.12192 |G|287801| 0.960000 |PHOT|27.2B|  0.000|1|0|5|1|0|0|0
182|MUNICS S3F5-0906|135.84629 |  30.10219 |G|995311| 3.320000 |PHOT|24.0V|  0.000|1|0|6|1|0|0|0
183|SDSS J090324.43+300650.4|135.85182 |  30.11401 |G|161888| 0.540000 |PHOT|21.5g|  0.000|1|0|21|2|0|4|0
184|MUNICS S3F5-0607|135.85225 |  30.05072 |G|185871| 0.620000 |PHOT|23.6V|  0.000|1|0|6|1|0|0|0
185|SDSS J090327.25+300242.8|135.86356 |  30.04522 |G|119917| 0.400000 |PHOT|23.3g|  0.000|1|0|21|2|0|4|0
186|MUNICS S3F5-0202|135.89042 |  29.95686 |G|353755| 1.180000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
187|MUNICS S3F5-0517|135.89254 |  30.02919 |G|131909| 0.440000 |PHOT|24.1V|  0.000|1|0|6|1|0|0|0
188|SDSS J090335.84+300540.4|135.89935 |  30.09456 |G|149896| 0.500000 |PHOT|23.1g|  0.000|1|0|21|2|0|4|0
189|MUNICS S3F5-0475|135.90054 |  30.01819 |G|173880| 0.580000 |PHOT|23.6V|  0.000|1|0|6|1|0|0|0
190|SDSS J090336.93+300700.5|135.90389 |  30.11683 |G|149896| 0.500000 |PHOT|22.1g|  0.000|1|0|21|2|0|4|0
191|SDSS J090337.51+300515.0|135.90630 |  30.08753 |G| 53963| 0.180000 |PHOT|22.8g|  0.000|1|0|11|2|0|4|0
192|SDSS J090338.54+300254.6|135.91060 |  30.04852 |VisS|161888| 0.540000 |PHOT|23.3g|  0.000|1|0|11|2|0|4|0
