#         RA            DEC        r_k20fe      j_m_k20fe      k_m_k20fe           k_ba           k_pa                                                                                                         
   1.943515E+02   2.749772E+01   4.330000E+01   1.049500E+01   9.533000E+00   7.000000E-01   7.000000E+01
   1.952337E+02   2.779078E+01   2.900000E+01   1.106100E+01   1.005200E+01   9.100000E-01  -6.000000E+01
   1.953589E+02   2.788598E+01   4.350000E+01   1.061700E+01   9.662000E+00   8.000000E-01  -4.500000E+01
   1.967749E+02  -2.367704E+01   4.150000E+01   1.086200E+01   9.798000E+00   5.100000E-01   4.850000E+01
   2.014336E+02  -2.983368E+01   4.900000E+01   9.991000E+00   8.938000E+00   4.900000E-01  -5.500000E+01
   2.015382E+02   3.593443E+01   3.460000E+01   1.104800E+01   1.005200E+01   4.600000E-01  -4.250000E+01
   2.024696E+02   4.719526E+01   1.975000E+02   6.517000E+00   5.601000E+00   6.800000E-01   5.750000E+01
   2.039742E+02  -3.429575E+01   2.210000E+01   1.101800E+01   9.711000E+00   4.800000E-01  -6.900000E+01
   2.043281E+02   2.438416E+01   6.800000E+00   1.270400E+01   1.045500E+01   1.000000E+00  -3.000000E+01
   2.067046E+02  -6.040831E+01   4.980000E+01   1.086900E+01   8.719000E+00   8.000000E-01  -1.250000E+01
   2.087682E+02  -2.678068E+01   4.910000E+01   1.018200E+01   9.010000E+00   4.800000E-01  -5.750000E+01
   2.099617E+02   3.818245E+01   5.240000E+01   1.060200E+01   9.258000E+00   3.600000E-01  -4.000000E+01
   2.109115E+02  -3.397839E+01   8.190000E+01   8.712000E+00   7.731000E+00   7.700000E-01   8.000000E+01
   2.120131E+02  -3.331506E+01   8.150000E+01   9.459000E+00   8.516000E+00   3.000000E-01   2.450000E+01
   2.120989E+02  -4.797081E+01   7.370000E+01   8.579000E+00   7.615000E+00   5.900000E-01   1.000000E+00
   2.125184E+02   1.773379E+01   5.110000E+01   1.062000E+01   9.654000E+00   6.700000E-01  -7.000000E+01
   2.228246E+02   5.897773E+01   6.120000E+01   1.045100E+01   9.305000E+00   2.000000E-01  -3.600000E+01
   2.258420E+02  -3.930196E+01   7.000000E+00   1.553800E+01   1.457900E+01   1.000000E+00   8.250000E+01
   2.286428E+02  -5.298938E+01   1.055000E+02   8.598000E+00   7.239000E+00   3.500000E-01  -1.800000E+01
   2.318960E+02  -6.417095E+01   6.800000E+01   9.717000E+00   8.684000E+00   5.400000E-01   1.175000E+02
   2.337386E+02   2.350291E+01   2.250000E+01   1.121000E+01   9.957000E+00   1.000000E+00  -1.000000E+01
   2.341095E+02  -6.685975E+01   6.750000E+01   9.439000E+00   8.488000E+00   6.900000E-01   2.450000E+01
   2.349891E+02   5.807939E+01   7.170000E+01   9.670000E+00   8.675000E+00   4.300000E-01   5.950000E+01
   2.383467E+02   1.195897E+01   2.960000E+01   1.161200E+01   1.058800E+01   6.100000E-01   3.500000E+01
   2.415169E+02   5.542533E+01   3.740000E+01   1.175000E+01   1.076100E+01   2.800000E-01   8.800000E+01
   2.442080E+02   3.570177E+01   1.360000E+01   1.224900E+01   1.135400E+01   1.000000E+00  -3.000000E+01
   2.443340E+02   3.490148E+01   4.220000E+01   1.072900E+01   9.795000E+00   5.800000E-01   2.750000E+01
   2.451852E+02  -7.014260E+01   7.360000E+01   1.015200E+01   8.899000E+00   1.800000E-01   6.250000E+01
   2.472773E+02  -6.164428E+01   2.640000E+01   1.080800E+01   9.794000E+00   5.500000E-01  -9.500000E+00
   2.487829E+02   4.099124E+01   3.330000E+01   1.270900E+01   1.140400E+01   1.200000E-01  -6.250000E+01
   2.488088E+02  -5.808003E+01   5.600000E+01   9.345000E+00   8.362000E+00   9.700000E-01  -7.500000E+00
   2.541870E+02  -6.240311E+01   2.700000E+01   1.148100E+01   1.055800E+01   3.700000E-01   4.600000E+01
   2.622903E+02  -6.244574E+01   6.580000E+01   1.002000E+01   9.043000E+00   8.000000E-01   4.750000E+01
   2.732308E+02   6.836332E+01   3.250000E+01   1.113600E+01   1.006600E+01   3.600000E-01  -4.750000E+01
   2.878485E+02  -5.704957E+01   6.350000E+01   8.613000E+00   7.614000E+00   8.800000E-01   2.000000E+01
   2.896555E+02  -6.049646E+01   4.490000E+01   9.990000E+00   9.051000E+00   9.400000E-01  -1.000000E+01
   3.042354E+02  -7.076825E+01   6.850000E+01   9.359000E+00   8.383000E+00   5.000000E-01   4.100000E+01
   3.062779E+02  -2.480943E+01   6.760000E+01   9.487000E+00   8.506000E+00   6.200000E-01   5.500000E+01
   3.082093E+02   9.926430E+00   5.570000E+01   9.898000E+00   8.796000E+00   3.000000E-01  -7.650000E+01
   3.169412E+02   3.877640E+00   6.300000E+00   1.279800E+01   1.168300E+01   1.000000E+00  -2.500000E+01
   3.359567E+02  -2.103810E+00   6.300000E+00   1.329400E+01   1.108200E+01   1.000000E+00   1.250000E+01
   3.390141E+02   3.394810E+01   3.240000E+01   1.160800E+01   1.091200E+01   6.000000E-01  -7.050000E+01
   3.390148E+02   3.397575E+01   2.920000E+01   1.147600E+01   1.042300E+01   5.600000E-01  -3.250000E+01
   3.458153E+02   8.873690E+00   3.180000E+01   1.029900E+01   9.010000E+00   7.100000E-01  -6.000000E+01
   3.476332E+02   6.766085E+01   3.530000E+01   1.098100E+01   9.387000E+00   4.700000E-01   8.000000E+01
   3.533186E+02  -4.501596E+01   5.970000E+01   9.325000E+00   8.439000E+00   6.600000E-01   3.750000E+01
