---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
38025,106,"12  5  1","U 7020",131.46,51.94,-2,1447,1556,31.59,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.10,-3.38,132.14,52.70,-1.51,1331,1437,1477,1451,31.83,0.15,0,0.00,0.00,0.0,2,31.60,0.30,2,31.90,0.17
38031,431,"22 12 12","N 4045",276.00,62.29,1,1966,1865,32.02,0.00,0.022,0.001,0.54,3,12.28,10.91,1,10.57,3,0.001,0.001,1881,324,1,3,31.79,0.09,2.5,0.001,12.52,-2.69,276.00,62.29,-2.69,1966,1865,1811,2322,31.79,0.37,1,31.79,0.37,1.3,0,0.00,0.00,0,0.00,0.00
38037,417,"22 -4  4",E440-44,290.31,32.58,8,2199,2022,31.70,0.00,0.083,0.001,0.41,1,0.001,0.001,0.001,12.86,1,0.001,0.001,2022,118,8,3,29.82,0.00,1.0,0.001,13.16,-3.00,287.88,32.84,-1.50,1818,1639,1554,2157,31.53,0.11,8,31.15,0.17,8.1,6,31.42,0.19,2,32.03,0.17
38049,409,"22 -1  1","N 4050",286.40,44.95,2,1904,1753,31.59,0.00,0.057,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.80,-2.46,286.62,42.07,-1.33,1685,1527,1449,2039,31.67,0.15,6,31.74,0.19,6.4,0,0.00,0.00,1,31.62,0.17
38068,102,"12 -1  1","N 4051",148.90,70.09,4,710,755,31.26,0.00,0.013,0.00,0.66,1,10.98,9.88,1,9.37,1,0.001,0.001,746,267,4,2,30.43,0.02,2.5,0.001,10.90,-2.13,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38087,409,"22 -1  1",1200-19,287.65,41.92,6,1658,1500,31.59,0.00,0.046,0.09,0.23,2,0.001,0.001,0.001,13.43,2,0.001,0.001,1501,219,3,3,32.50,0.00,1.0,0.001,13.93,-3.32,286.62,42.07,-1.33,1685,1527,1449,2039,31.67,0.15,6,31.74,0.19,6.4,0,0.00,0.00,1,31.62,0.17
38114,417,"22 -4  4",E505-008,289.50,36.24,4,1922,1752,31.70,0.001,0.086,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.28,13.86,-3.28,287.88,32.84,-1.50,1818,1639,1554,2157,31.53,0.11,8,31.15,0.17,8.1,6,31.42,0.19,2,32.03,0.17
38148,258,"14  0  0","N 4068",138.90,63.05,10,213,285,28.80,28.14,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.60,-2.85,138.90,63.05,-9.99,213,285,309,394,28.14,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,28.14,0.17
38150,200,"14 -1  1","N 4062",185.23,78.65,5,769,770,31.27,0.00,0.025,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.66,-2.46,203.10,83.71,-1.21,987,983,968,1274,31.06,0.12,5,30.94,0.20,5.3,1,31.49,0.41,6,31.04,0.13
38167,8,"11  7  1","N 4064",249.08,76.08,1,1026,980,29.75,0.00,0.021,0.02,0.42,2,12.34,10.97,1,10.37,2,9.39,1,885,202,1,3,29.64,0.41,3.0,0.001,11.82,-2.54,245.25,76.24,-2.37,1147,1103,1074,1471,29.64,0.36,1,29.64,0.36,1.3,0,0.00,0.00,0,0.00,0.00
38173,106,"12 -5  1","U 7056",132.12,53.77,6,1275,1379,31.59,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.50,-3.14,132.14,52.70,-1.51,1331,1437,1477,1451,31.83,0.15,0,0.00,0.00,0.0,2,31.60,0.30,2,31.90,0.17
38190,427,"22-10 10","U 7053",279.48,59.18,10,1463,1353,32.19,0.00,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.60,-3.22,277.13,59.28,-2.36,1427,1316,1258,1787,31.39,0.17,1,32.17,0.45,0.8,0,0.00,0.00,1,31.31,0.17
38212,106,"12  5  1",N4081,131.10,51.94,1,1457,1567,31.59,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.94,13.36,-3.09,132.14,52.70,-1.51,1331,1437,1477,1451,31.83,0.15,0,0.00,0.00,0.0,2,31.60,0.30,2,31.90,0.17
38222,417,"22 -4  4",1202-27,290.57,33.62,9,1787,1613,31.70,0.00,0.074,0.38,0.62,1,0.001,0.001,0.001,12.44,1,0.001,0.001,1586,119,6,3,30.18,0.00,1.0,0.001,12.88,-2.89,287.88,32.84,-1.50,1818,1639,1554,2157,31.53,0.11,8,31.15,0.17,8.1,6,31.42,0.19,2,32.03,0.17
38283,102,"12 -1  1","N 4085",140.60,65.16,5,714,779,31.26,0.00,0.018,0.01,0.24,2,13.09,11.87,1,11.22,2,10.08,2,814,304,3,3,31.55,0.11,3.0,31.31,12.31,-2.70,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38302,102,"12 -1  1","N 4088",140.35,65.01,4,763,829,31.26,0.00,0.020,0.01,0.37,2,11.23,10.03,2,9.37,1,8.45,2,822,373,3,2,30.77,0.07,3.0,0.001,10.68,-2.04,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38330,417,"22 -4  4",1203-27,290.78,33.85,5,1851,1677,31.70,0.00,0.066,0.36,0.27,2,0.001,0.001,0.001,11.57,2,0.001,0.001,1674,248,1,3,31.12,0.00,1.0,0.001,11.70,-2.42,287.88,32.84,-1.50,1818,1639,1554,2157,31.53,0.11,8,31.15,0.17,8.1,6,31.42,0.19,2,32.03,0.17
38334,417,"22 -4  4",IC2996,291.29,31.87,4,2256,2079,31.70,0.001,0.072,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.88,13.23,-3.03,287.88,32.84,-1.50,1818,1639,1554,2157,31.53,0.11,8,31.15,0.17,8.1,6,31.42,0.19,2,32.03,0.17
38346,412,"22  1  1","N 4094",286.69,46.88,6,1428,1283,31.14,0.00,0.057,0.09,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.00,-2.54,286.69,46.88,-2.54,1428,1283,1210,1785,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38347,763,"42-13 13",UGC07086,126.10,39.34,3,2009,2154,32.21,0.001,0.081,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.27,13.82,-3.19,124.77,42.31,-1.58,1686,1828,1884,1734,32.09,0.12,3,32.28,0.24,3.3,3,32.12,0.25,4,32.04,0.14
38356,102,"12 -1  1","U 7089",149.94,71.52,8,778,819,31.26,0.00,0.015,0.00,0.19,1,13.73,12.77,1,12.36,1,12.03,1,815,159,3,3,30.39,0.03,3.0,0.001,13.10,-3.01,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38358,410,"22  1  1",A1203-26,290.60,34.77,0.001,1229,1057,31.59,0.00,0.082,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.46,286.80,37.38,-2.63,1328,1158,1076,1676,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38361,209,"14 -4  4","N 4096",143.54,67.80,5,577,633,30.67,0.00,0.018,0.00,0.25,2,11.55,10.36,2,9.76,1,8.90,2,616,326,1,2,30.38,0.09,3.0,30.16,10.33,-1.93,138.31,70.58,-0.94,500,556,569,713,29.82,0.13,6,30.53,0.18,7.1,2,29.53,0.30,3,29.46,0.16
38367,409,"22 -1  1",1203-22,289.48,38.84,8,1718,1554,31.59,0.00,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.28,-2.66,286.62,42.07,-1.33,1685,1527,1449,2039,31.67,0.15,6,31.74,0.19,6.4,0,0.00,0.00,1,31.62,0.17
38370,102,"12 -1  1","N 4100",141.11,65.91,4,1076,1139,31.26,0.00,0.023,0.04,0.31,2,11.91,10.60,2,10.00,1,8.91,2,1137,404,1,3,31.47,0.06,3.0,31.37,11.00,-2.17,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38375,102,"12 -1  1","U 7094",150.15,71.70,8,780,820,31.26,0.00,0.013,0.001,0.36,1,14.74,13.70,1,13.22,1,0.001,0.001,820,112,6,3,30.15,0.25,2.5,0.001,14.30,-3.49,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38391,477,"23  0  0",1203-441,294.52,17.69,1,3110,2915,32.97,0.00,0.162,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.61,-2.88,294.52,17.69,-2.88,3110,2915,2823,3397,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38392,102,"12 -1  1","N 4102",138.10,63.08,3,862,935,31.26,0.00,0.020,0.01,0.57,4,12.04,10.57,3,9.91,2,8.49,2,918,328,1,3,31.41,0.37,3.0,0.001,12.13,-2.62,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38411,420,"22 -5  4","N 4105",291.46,32.11,-5,1890,1714,31.92,32.12,0.062,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.80,-2.42,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38417,420,"22 -5  4","N 4106",291.49,32.12,-1,2180,2004,31.92,0.00,0.062,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.13,-2.56,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38423,760,"42  0 12",N4108,129.56,49.39,5,2485,2603,32.77,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.96,-2.69,128.53,50.53,-2.07,2520,2637,2682,2621,33.02,0.41,0,0.00,0.00,0.0,1,33.02,0.41,0,0.00,0.00
38431,454,"23 -5  5",1204-36,292.98,25.74,5,2859,2673,32.70,0.00,0.074,0.26,0.45,1,0.001,0.001,0.001,13.79,1,0.001,0.001,2673,210,1,3,33.07,0.00,1.0,0.001,14.50,-3.34,295.74,27.79,-1.89,2710,2532,2444,3024,32.19,0.30,2,32.19,0.30,2.0,0,0.00,0.00,0,0.00,0.00
38440,102,"12 -1  1","N 4111",149.52,71.69,-1,794,835,31.26,30.88,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.50,-2.37,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38452,455,"23  5  5",N4112,293.84,21.88,2,2714,2523,32.70,0.00,0.096,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.16,-2.41,293.84,21.88,-2.41,2714,2523,2432,3015,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38464,417,"22 -4  4",1204-29,291.66,31.88,6,1709,1532,31.70,0.00,0.067,0.21,0.21,2,0.001,0.001,0.001,12.15,2,0.001,0.001,1544,274,3,3,31.93,0.00,1.0,31.86,12.92,-2.91,287.88,32.84,-1.50,1818,1639,1554,2157,31.53,0.11,8,31.15,0.17,8.1,6,31.42,0.19,2,32.03,0.17
38481,107,"12 -6  1",1204+40,155.97,74.37,10,881,911,31.19,0.00,0.030,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.14,-3.43,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
38492,428,"22-11 11","N 4116",277.87,63.41,8,1310,1214,30.98,0.00,0.022,0.00,0.52,2,12.75,11.73,1,11.23,2,10.66,1,1216,228,1,2,31.17,0.04,3.0,0.001,12.26,-2.65,279.35,63.18,-2.01,1310,1214,1160,1664,31.02,0.27,2,31.02,0.27,2.6,0,0.00,0.00,0,0.00,0.00
38504,759,"42  0 12",1205+67,129.33,49.20,0.001,2239,2358,32.77,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.40,-3.27,129.33,49.20,-3.27,2239,2358,2404,2335,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38508,106,"12  5  1","N 4121",130.24,51.38,-5,1457,1569,31.59,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.46,132.14,52.70,-1.51,1331,1437,1477,1451,31.83,0.15,0,0.00,0.00,0.0,2,31.60,0.30,2,31.90,0.17
38524,106,"12  5  1","N 4125",130.19,51.34,-5,1352,1465,31.59,31.89,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.57,-1.97,132.14,52.70,-1.51,1331,1437,1477,1451,31.83,0.15,0,0.00,0.00,0.0,2,31.60,0.30,2,31.90,0.17
38527,1,"11 -1  1","N 4124",269.56,70.39,-1,1652,1581,31.25,0.00,0.028,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.00,-2.58,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
38531,428,"22-11 11","N 4123",277.96,63.64,5,1339,1244,30.98,0.00,0.020,0.00,0.62,2,12.38,11.16,1,10.57,2,0.001,0.001,1233,224,4,2,30.86,0.15,2.5,0.001,11.77,-2.45,279.35,63.18,-2.01,1310,1214,1160,1664,31.02,0.27,2,31.02,0.27,2.6,0,0.00,0.00,0,0.00,0.00
38536,420,"22 -5  4",1205-31,292.37,29.97,4,2223,2044,31.92,0.00,0.072,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.02,-3.31,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38550,763,"42-13 13","N 4127",126.12,40.06,4,1821,1965,32.21,0.00,0.093,0.19,0.57,2,0.001,12.40,1,11.83,1,10.54,1,1959,277,1,3,32.43,0.22,2.5,0.001,12.50,-2.65,124.77,42.31,-1.58,1686,1828,1884,1734,32.09,0.12,3,32.28,0.24,3.3,3,32.12,0.25,4,32.04,0.14
38553,757,"42-12 12",NGC4120,128.42,47.12,6,2246,2371,32.62,0.001,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.99,13.06,-2.78,127.27,46.13,-2.26,2127,2256,2307,2201,31.99,0.41,0,0.00,0.00,0.0,1,31.99,0.41,0,0.00,0.00
38555,758,"42 12 12","N 4128",128.69,47.88,-2,2324,2447,32.62,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.70,-2.63,128.69,47.88,-2.63,2324,2447,2495,2411,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38567,107,"12 -6  1","U 7125",163.31,76.76,9,1078,1098,31.19,0.00,0.025,0.001,0.27,1,0.001,14.77,1,0.001,0.001,0.001,0.001,1091,180,3,2,32.66,0.00,1.0,0.001,13.00,-2.98,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
38578,763,"42-13 13",N4133,126.64,41.92,3,1363,1502,32.21,0.00,0.039,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.89,-2.81,124.77,42.31,-1.58,1686,1828,1884,1734,32.09,0.12,3,32.28,0.24,3.3,3,32.12,0.25,4,32.04,0.14
38580,437,"22  0  0","N 4129",285.55,52.38,2,1210,1081,31.19,0.00,0.072,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.28,12.38,-2.73,285.55,52.38,-2.73,1210,1081,1013,1569,31.28,0.41,0,0.00,0.00,0.0,1,31.28,0.41,0,0.00,0.00
38588,420,"22 -5  4",IC3015,292.44,30.49,4,2034,1855,31.92,0.001,0.061,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.94,12.39,-2.66,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38618,200,"14 -1  1","N 4136",193.68,80.32,5,618,614,31.27,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.70,-2.48,203.10,83.71,-1.21,987,983,968,1274,31.06,0.12,5,30.94,0.20,5.3,1,31.49,0.41,6,31.04,0.13
38624,1,"11 -1  1",I3019,264.07,73.60,-5,1804,1745,31.25,31.17,0.039,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.93,-3.35,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
38628,420,"22 -5  4",E441-011,291.93,33.17,6,2134,1960,31.92,0.001,0.056,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.68,14.13,-3.36,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38635,420,"22 -5  4",E441-012,292.76,29.53,2,2184,2004,31.92,0.001,0.072,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.37,13.64,-3.16,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38643,102,"12 -1  1","N 4138",147.28,71.40,-1,1039,1083,31.26,30.70,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.30,-2.69,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38645,102,"12 -1  1","N 4142",136.79,62.88,7,1163,1239,31.26,0.00,0.021,0.03,0.52,2,0.001,13.17,1,12.77,1,12.19,2,1233,188,1,3,31.93,0.06,2.5,0.001,13.50,-3.17,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38654,102,"12 -1  1","N 4143",149.16,72.40,-2,966,1006,31.26,31.01,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.10,-2.61,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38680,761,"42  0 12","U 7153",131.20,54.19,6,2610,2714,32.77,0.00,0.020,0.001,0.16,1,0.001,0.001,0.001,13.57,1,0.001,0.001,2714,294,8,3,33.57,0.00,1.0,33.28,13.67,-2.98,126.89,52.54,-2.03,2727,2842,2884,2836,31.96,0.15,2,33.19,0.30,2.1,1,33.28,0.41,1,31.40,0.17
38684,177,"13 12 11","U 7149",266.29,72.90,9,2532,2470,32.77,0.00,0.038,0.02,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.69,-3.39,268.70,73.07,-2.04,2376,2315,2276,2711,32.56,0.15,3,32.81,0.23,3.8,0,0.00,0.00,1,32.45,0.17
38688,212,"14 -7  7","N 4144",143.16,69.01,6,267,321,28.72,0.00,0.015,0.00,0.20,1,11.99,11.34,1,10.91,1,10.32,1,321,172,3,2,29.12,0.15,3.0,29.13,11.20,-2.29,138.92,75.96,-1.00,267,309,314,500,28.35,0.11,3,28.53,0.23,3.6,1,29.13,0.41,16,28.28,0.11
38693,107,"12 -6  1","N 4145",154.25,74.62,7,1013,1044,31.19,0.00,0.029,0.00,0.56,1,11.86,10.62,1,10.24,1,9.72,1,1047,238,1,2,30.44,0.10,3.0,0.001,11.37,-2.33,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
38711,420,"22 -5  4",1207-29,292.36,32.28,5,2142,1967,31.92,0.00,0.060,0.26,0.30,1,0.001,0.001,0.001,11.32,1,10.56,1,1955,295,1,3,31.63,0.14,1.5,31.45,11.50,-2.30,291.88,32.10,-1.81,2075,1899,1813,2406,32.08,0.13,1,31.63,0.39,1.1,4,32.11,0.22,1,32.12,0.17
38724,757,"42-12 12","U 7164",127.86,46.23,9,2124,2252,32.62,0.00,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.60,-2.99,127.27,46.13,-2.26,2127,2256,2307,2201,31.99,0.41,0,0.00,0.00,0.0,1,31.99,0.41,0,0.00,0.00
38730,757,"42-12 12","U 7168",127.89,46.36,7,2181,2309,32.62,0.00,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.00,-3.55,127.27,46.13,-2.26,2127,2256,2307,2201,31.99,0.41,0,0.00,0.00,0.0,1,31.99,0.41,0,0.00,0.00
38739,107,"12 -6  1","N 4151",155.09,75.06,2,989,1019,31.19,0.00,0.027,0.001,0.60,1,11.07,9.93,1,9.42,1,0.001,0.001,1023,142,4,2,27.95,0.18,2.5,0.001,11.08,-2.21,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
38742,200,"14 -1  1","N 4150",190.44,80.46,-2,244,242,31.27,30.69,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.45,-2.78,203.10,83.71,-1.21,987,983,968,1274,31.06,0.12,5,30.94,0.20,5.3,1,31.49,0.41,6,31.04,0.13
38748,175,"13-11 11","U 7170",252.34,77.47,6,2444,2402,32.84,0.00,0.030,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.32,14.20,-3.18,248.67,78.27,-2.45,2519,2481,2453,2837,32.32,0.41,0,0.00,0.00,0.0,1,32.32,0.41,0,0.00,0.00
38749,176,"13 12 11","N 4152",260.40,75.42,5,2160,2109,32.77,0.00,0.033,0.06,0.76,1,12.75,11.78,1,11.37,1,0.001,0.001,2114,241,4,2,32.43,0.11,2.5,0.001,12.34,-2.44,262.57,75.20,-2.19,2251,2199,2164,2581,32.71,0.30,2,32.71,0.30,2.1,0,0.00,0.00,0,0.00,0.00
