---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
930,355,"19 -8  7","N   45",55.89,-80.64,8,471,496,28.80,0.00,0.021,0.06,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.03,-2.22,50.80,-80.56,-1.99,508,532,554,202,28.61,0.16,1,29.79,0.36,1.3,0,0.00,0.00,1,28.42,0.17
1014,234,"14 13 13","N   55",332.88,-75.74,9,140,109,26.82,26.70,0.013,0.03,0.21,1,8.42,7.57,1,7.21,1,0.001,0.001,94,203,3,2,25.98,0.14,2.5,0.001,7.50,-0.80,323.61,-76.75,-0.66,144,107,104,-95,26.51,0.13,2,26.43,0.28,2.4,0,0.00,0.00,6,26.52,0.13
1038,234,"14 13 13",E410-05,357.85,-80.71,-5,159,152,26.82,26.39,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.31,-3.93,323.61,-76.75,-0.66,144,107,104,-95,26.51,0.13,2,26.43,0.28,2.4,0,0.00,0.00,6,26.52,0.13
1107,1212,"65  6  6","U  156",109.80,-49.64,10,1135,1269,30.71,0.00,0.128,0.23,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.70,-3.28,109.80,-49.64,-3.28,1135,1269,1340,781,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
1160,1213,"65  6  6","N   63",109.87,-50.57,5,1162,1293,30.71,31.36,0.111,0.23,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.27,-2.71,110.05,-50.73,-2.59,1157,1288,1358,804,31.36,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,31.36,0.17
1218,1293,"60  0  0",0016-19,78.56,-78.95,9,2060,2097,31.92,0.00,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.30,78.56,-78.95,-3.30,2060,2097,2126,1742,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
1284,1029,"55  5  5",0017-77,305.22,-39.90,7,1810,1664,31.70,0.00,0.057,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.72,-3.23,305.22,-39.90,-3.23,1810,1664,1605,1775,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
1292,1213,"65  6  6","U  191",110.62,-51.25,9,1144,1272,30.71,0.00,0.115,0.22,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.54,-3.22,110.05,-50.73,-2.59,1157,1288,1358,804,31.36,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,31.36,0.17
1305,222,"14-12 12","U  192",118.98,-3.34,10,-345,-147,24.76,24.10,1.560,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7.97,-0.99,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
1335,1031,"55  0  0",0018-64,308.49,-52.94,4,1764,1652,31.46,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.35,308.49,-52.94,-3.35,1764,1652,1611,1649,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
