"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
90655,655,381,0.001,186.53,-52.52,24,1.01,0.10,0.99,0.12,16.7,0.30,c,0,III,1,0.001,3.077194444440000,-6.952777777780000
90656,656,382,0.001,194.62,-55.63,12,1.00,0.11,0.92,0.12,16.6,0.29,d,0,III,1,0.001,3.078333333330000,-12.618055555600000
90657,667,387,0.001,179.73,-47.74,102,0.87,0.09,0.65,0.10,17.0,0.28,cd,2,III,1,0.001,3.140138888890000,-0.558611111111000
90658,666,388,0.001,196.54,-55.21,134,0.96,0.09,0.85,0.09,16.7,0.26,d,0,II,1,0.001,3.139611111110000,-13.365555555600000
90659,669,389,0.001,159.89,-29.96,54,0.95,0.11,0.84,0.11,16.6,0.76,c,2,II,1,"S-shaped.Interact.comp.at 1.3N",3.152055555560000,22.856944444400000
90660,674,392,0.001,152.87,-19.57,49,1.18,0.11,1.01,0.11,16.5,0.87,d,1,III,3,"El. compan. at 3.0 SW",3.193500000000000,35.026944444400000
90661,673,393,0.001,180.52,-47.15,70,0.85,0.11,0.56,0.11,17.0,0.29,c,1,III,2,0.001,3.193472222220000,-0.561388888889000
90662,678,394,0.001,151.92,-17.89,30,1.00,0.11,0.97,0.11,16.6,1.20,c,1,III,0,0.001,3.205833333330000,36.925833333300000
90663,681,397,0.001,190.73,-51.90,31,1.10,0.12,1.01,0.15,16.3,0.25,c,0,II,0,0.001,3.210888888890000,-8.703055555560000
90664,683,398,0.001,196.06,-53.68,2,1.00,0.11,1.16,0.11,16.5,0.32,cd,0,III,0,0.001,3.222000000000000,-12.378888888900000
90665,684,399,0.001,178.32,-44.82,169,0.70,0.10,0.65,0.11,17.0,0.46,bc,0,III,0,0.001,3.240277777780000,2.126388888890000
90666,686,400,0.001,165.96,-34.39,38,0.72,0.09,0.69,0.10,17.1,0.47,c,2,III,3,0.001,3.251000000000000,16.216111111100000
90667,685,401,0.001,196.39,-53.33,49,0.74,0.10,0.62,0.11,17.0,0.26,c,2,III,0,0.001,3.249333333330000,-12.383888888900000
90668,692,406,0.001,203.80,-54.89,158,0.95,0.12,0.95,0.12,16.4,0.18,c,0,II,0,0.001,3.285277777780000,-16.966111111100000
90669,697,408,0.001,204.34,-54.83,123,1.00,0.10,0.87,0.10,16.7,0.17,dm,2,III,2,0.001,3.297527777780000,-17.230000000000000
90670,699,409,0.001,179.05,-43.64,50,1.14,0.11,0.90,0.16,16.6,0.47,c,1,III,0,0.001,3.322055555560000,2.540277777780000
90671,710,415,0.001,165.27,-30.81,136,0.84,0.11,0.80,0.11,16.7,0.54,cd,0,III,0,0.001,3.378472222220000,19.353888888900000
90672,711,417,0.001,171.95,-36.87,0,2.46,0.27,2.02,0.31,15.3,3.00,d,1,IV,0,0.001,3.390000000000000,11.151944444400000
90673,713,418,0.001,168.83,-33.84,72,0.90,0.12,1.01,0.11,16.5,0.91,dm,2,III,1,Curved,3.401055555560000,15.101944444400000
90674,723,420,0.001,165.57,-30.07,89,0.73,0.10,0.73,0.10,16.9,0.70,cd,0,III,1,"Component of pair at 1.1 N",3.426000000000000,19.762500000000000
90675,716,421,0.001,165.34,-30.10,128,1.20,0.11,1.10,0.13,16.3,0.71,c,1,II,0,0.001,3.413444444440000,19.865555555600000
90676,721,422,0.001,161.46,-25.64,106,0.76,0.10,0.62,0.10,16.8,0.59,dm,2,II,3,0.001,3.422277777780000,25.490000000000000
90677,725,425,0.001,181.79,-43.10,143,0.81,0.08,0.45,0.10,17.5,0.41,dm,1,IV,1,0.001,3.436722222220000,1.406944444440000
90678,732,427,0.001,154.78,-16.38,85,0.78,0.11,0.68,0.11,16.9,1.25,c,0,III,1,0.001,3.465000000000000,36.638888888900000
90679,728,428,0.001,179.48,-41.23,175,0.75,0.10,0.67,0.11,17.0,0.54,cd,0,III,0,0.001,3.455472222220000,3.920277777780000
90680,730,429,0.001,174.76,-37.70,146,1.18,0.07,1.03,0.12,16.9,1.13,cd,0,III,1,0.001,3.459611111110000,8.995000000000000
90681,737,431,0.001,153.63,-13.65,20,0.86,0.12,0.78,0.13,16.5,0.77,c,1,II,4,"Companion at 2.5 E",3.524388888890000,39.498055555600000
90682,738,432,0.001,170.79,-32.79,89,0.76,0.09,0.90,0.11,16.9,1.56,cd,0,III,0,0.001,3.533277777780000,14.781111111100000
90683,746,434,0.001,196.48,-48.06,29,1.25,0.11,1.12,0.12,16.6,0.16,d,0,IV,0,0.001,3.562805555560000,-9.826388888890000
90684,751,435,0.001,173.60,-34.30,67,1.21,0.16,1.32,0.15,16.2,2.18,c,0,IV,1,"Curved at O print",3.577055555560000,12.065000000000000
90685,752,436,0.001,171.08,-32.06,169,1.03,0.10,0.76,0.10,16.8,1.49,d,0,III,3,0.001,3.580194444440000,15.141944444400000
90686,756,438,0.001,191.27,-44.32,65,1.15,0.11,1.10,0.12,16.3,0.22,cd,0,II,0,0.001,3.647361111110000,-4.792777777780000
90687,757,439,0.001,173.48,-32.53,2,1.10,0.12,1.12,0.12,16.4,1.63,cd,0,III,0,0.001,3.657861111110000,13.393055555600000
90688,760,441,0.001,185.37,-40.66,4,0.92,0.13,0.76,0.13,16.6,0.40,cd,1,III,1,"Seeing on O print is 4""",3.674944444440000,0.872500000000000
90689,761,442,0.001,182.68,-38.98,136,0.90,0.11,0.69,0.12,16.9,0.67,dm,1,IV,0,0.001,3.676333333330000,3.536944444440000
90690,762,443,0.001,173.65,-32.13,4,1.40,0.16,1.20,0.19,16.2,1.55,cd,0,IV,2,0.001,3.683722222220000,13.571388888900000
90691,771,448,0.001,191.86,-42.76,17,0.97,0.12,0.92,0.12,16.2,0.33,dm,2,I,1,0.001,3.750333333330000,-4.277500000000000
90692,772,449,0.001,203.06,-47.17,40,0.88,0.08,0.84,0.09,17.1,0.30,d,0,IV,1,0.001,3.756944444440000,-13.335000000000000
90693,776,450,0.001,184.27,-38.05,83,1.27,0.17,1.06,0.18,16.1,0.95,bc,1,III,0,0.001,3.776583333330000,3.161111111110000
90694,779,453,0.001,205.16,-47.33,136,1.20,0.15,1.20,0.17,16.1,0.24,dm,1,III,0,0.001,3.788388888890000,-14.697500000000000
90695,782,455,0.001,173.20,-28.95,42,0.78,0.11,0.84,0.11,16.9,1.85,cd,1,IV,0,0.001,3.820805555560000,16.085000000000000
90696,785,456,0.001,176.01,-30.28,119,0.93,0.11,0.99,0.17,16.6,1.23,bc,1,III,1,0.001,3.871194444440000,13.405000000000000
90697,790,459,0.001,192.98,-39.60,53,1.46,0.19,1.40,0.19,15.7,0.90,m,1,III,0,0.001,3.957722222220000,-3.250000000000000
90698,797,462,0.001,161.33,-13.63,14,0.94,0.11,1.01,0.18,16.7,1.14,c,1,IV,3,0.001,4.011055555560000,34.778333333300000
90699,800,464,0.001,168.66,-20.72,136,0.81,0.11,0.81,0.12,16.7,1.04,cd,1,III,1,"In contact w. gal. 0.7x0.5",4.027138888890000,24.821944444400000
90700,801,465,0.001,172.16,-23.93,11,0.73,0.10,0.68,0.11,16.8,1.08,c,2,II,2,0.001,4.027305555560000,20.263333333300000
90701,809,467,0.001,163.42,-13.58,124,0.97,0.09,0.81,0.09,16.9,1.12,cd,1,III,0,0.001,4.132750000000000,33.432777777800000
90702,810,468,0.001,203.24,-40.89,78,0.74,0.09,0.78,0.08,16.8,0.24,dm,1,II,1,0.001,4.144666666670000,-10.671944444400000
90703,817,470,0.001,169.28,-17.38,89,1.01,0.11,1.14,0.11,16.3,1.45,d,1,II,0,Knotty,4.233694444440000,26.749722222200000
90704,821,472,0.001,196.41,-35.53,143,0.64,0.07,0.66,0.08,17.3,0.18,d,0,III,2,0.001,4.284416666670000,-3.385277777780000
90705,826,476,0.001,209.73,-40.54,20,1.70,0.17,1.57,0.17,15.8,0.19,cd,0,III,1,"FGC 477 proj. at upper end",4.308333333330000,-14.990000000000000
90706,827,477,0.001,209.72,-40.53,101,0.65,0.06,0.65,0.07,17.4,0.19,d,0,III,1,"Superimposed on FGC 476",4.308555555560000,-14.980833333300000
90707,832,478,0.001,200.55,-36.56,75,1.01,0.11,1.02,0.10,16.6,0.35,cd,1,III,2,"Compan. at 1.5 SE",4.337055555560000,-6.791666666670000
90708,839,479,0.001,167.64,-13.02,166,0.64,0.09,0.83,0.09,17.0,2.35,dm,0,IV,0,"Lost on O pr.in emulsion grain",4.391388888890000,30.895000000000000
90709,837,480,0.001,201.27,-36.16,48,0.63,0.09,0.78,0.08,16.8,0.26,d,0,II,2,"Spiral 0.5 at 3.0NW",4.379000000000000,-7.111388888890000
90710,838,481,0.001,201.44,-36.12,131,1.23,0.17,1.31,0.17,15.9,0.26,bc,0,II,3,0.001,4.386138888890000,-7.215000000000000
90711,844,483,0.001,189.44,-29.23,138,0.99,0.09,1.01,0.10,16.7,1.48,d,1,III,0,0.001,4.420777777780000,4.984166666670000
90712,845,484,0.001,203.80,-36.45,43,1.10,0.11,1.00,0.12,16.4,0.74,c,0,II,0,0.001,4.425944444440000,-9.050277777780000
90713,852,486,0.001,204.35,-35.73,17,1.33,0.15,1.15,0.12,16.2,0.53,c,0,III,2,"Sharp red nucleus",4.483166666670000,-9.113611111110000
90714,854,488,0.001,210.76,-38.03,161,1.23,0.11,1.19,0.12,16.4,0.62,cd,1,III,0,"Arched.Compact interact.compan.",4.488861111110000,-14.733055555600000
90715,861,489,0.001,194.97,-30.80,19,1.03,0.11,0.76,0.11,16.7,0.24,d,1,III,1,"The nearest compan.is FGC490",4.510222222220000,0.132500000000000
90716,862,490,0.001,194.85,-30.74,24,0.90,0.09,0.78,0.09,16.8,0.27,c,0,II,1,"The nearest compan.is FGC489",4.510305555560000,0.249722222222000
90717,868,492,0.001,194.26,-29.38,45,0.92,0.09,0.73,0.09,16.9,0.33,d,0,III,0,0.001,4.568277777780000,1.410277777780000
90718,869,494,0.001,205.02,-34.24,19,0.93,0.09,0.90,0.10,16.7,0.60,d,0,II,0,0.001,4.589416666670000,-8.938611111110000
90719,872,495,0.001,199.24,-30.99,78,1.46,0.18,1.46,0.16,15.8,0.24,d,1,III,2,0.001,4.625333333330000,-3.103888888890000
90720,892,496,0.001,142.88,13.72,91,0.74,0.09,0.56,0.10,17.3,1.21,dm,0,IV,0,0.001,4.738666666670000,67.051944444400000
90721,888,499,0.001,209.47,-33.76,168,1.20,0.11,0.99,0.11,16.6,0.57,c,0,III,1,"Sharp nucleus",4.727388888890000,-12.050000000000000
90722,891,500,0.001,201.15,-29.99,116,0.80,0.08,0.74,0.09,17.0,0.14,c,0,II,0,0.001,4.738138888890000,-4.040555555560000
90723,893,501,0.001,214.27,-35.01,74,1.00,0.13,1.00,0.13,16.3,0.23,c,1,II,5,"Slightly S-shaped",4.756611111110000,-16.176666666700000
90724,894,502,0.001,206.09,-31.81,45,0.69,0.09,0.69,0.09,16.9,0.34,cd,0,II,0,0.001,4.763277777780000,-8.640000000000000
90725,898,504,0.001,200.88,-29.17,72,0.78,0.11,0.58,0.11,16.9,0.17,b,1,II,0,0.001,4.778055555560000,-3.442222222220000
90726,906,507,0.001,197.47,-26.56,69,0.80,0.11,0.76,0.12,16.6,0.36,d,0,II,3,"Two comps at 0.5 and 1.6NE",4.827666666670000,0.480833333333000
90727,909,508,0.001,219.62,-35.45,75,0.76,0.10,0.76,0.10,16.7,0.27,c,1,II,2,0.001,4.836694444440000,-20.419722222200000
90728,912,511,0.001,204.12,-29.23,14,0.83,0.08,0.67,0.07,17.1,0.18,d,0,III,0,Blue,4.864861111110000,-5.948055555560000
90729,918,514,0.001,209.09,-31.03,38,0.97,0.11,0.91,0.12,16.5,0.29,cd,2,II,0,0.001,4.886555555560000,-10.599722222200000
90730,924,516,0.001,211.40,-31.04,63,1.36,0.16,1.38,0.17,16.0,0.73,cd,0,III,2,0.001,4.942388888890000,-12.401944444400000
90731,925,517,0.001,210.92,-30.57,170,1.18,0.10,1.00,0.11,16.8,0.62,cd,0,IV,1,0.001,4.960138888890000,-11.826111111100000
90732,932,519,0.001,201.95,-25.10,22,1.12,0.12,1.03,0.13,16.3,0.38,d,0,II,1,0.001,5.046472222220000,-2.285000000000000
90733,939,521,0.001,219.49,-31.70,127,0.81,0.10,0.78,0.11,16.7,0.21,c,0,II,3,"Spiral 1.2 at 3.0 N",5.083611111110000,-19.030000000000000
90735,974,524,0.001,127.37,25.44,137,0.83,0.09,0.85,0.10,16.9,0.45,c,1,III,1,0.001,5.389138888890000,85.673055555600000
90736,950,525,0.001,206.04,-24.21,80,1.13,0.11,1.25,0.13,16.4,0.83,c,0,III,1,0.001,5.216472222220000,-5.141944444440000
90737,962,530,0.001,200.58,-19.50,120,0.97,0.11,0.78,0.10,16.7,0.64,cd,0,III,0,0.001,5.330055555560000,1.561111111110000
90738,972,531,0.001,144.86,16.96,53,1.28,0.11,1.23,0.11,16.2,0.66,cd,0,II,1,0.001,5.384944444440000,67.328888888900000
90739,965,532,0.001,217.79,-27.09,8,0.90,0.11,0.78,0.11,16.9,0.34,d,1,IV,0,0.001,5.344277777780000,-15.946388888900000
90740,985,533,0.001,130.87,24.21,165,0.95,0.12,0.90,0.12,16.4,0.27,c,2,II,1,0.001,5.495000000000000,82.271111111100000
90741,1013,542,0.001,137.45,22.43,17,0.95,0.09,0.92,0.10,16.8,0.55,cd,0,III,0,0.001,5.759555555560000,76.014444444400000
90742,1017,544,0.001,217.33,-19.49,177,0.62,0.08,0.62,0.09,17.2,0.93,d,0,III,0,0.001,5.811750000000000,-12.504166666700000
90744,1026,546,0.001,220.90,-20.34,144,0.88,0.10,0.78,0.12,16.8,0.41,cd,1,III,0,0.001,5.852277777780000,-15.915000000000000
90745,1033,547,0.001,134.90,24.01,53,0.93,0.12,1.08,0.12,16.4,0.41,dm,1,III,1,0.001,5.960388888890000,78.770000000000000
90746,1040,548,0.001,153.24,17.50,133,0.74,0.08,0.67,0.08,17.1,0.64,d,0,III,0,"Star projected",6.015555555560000,60.447777777800000
90747,1039,549,0.001,166.50,11.14,10,0.91,0.12,0.83,0.11,16.6,0.98,cd,0,III,0,0.001,6.011638888890000,46.115555555600000
90748,1053,554,0.001,162.95,14.65,80,1.38,0.17,1.31,0.20,15.8,0.85,bc,1,II,0,Two-layers,6.172722222220000,50.785000000000000
90749,1061,555,0.001,143.42,22.43,144,0.93,0.12,1.14,0.12,16.4,0.72,cd,2,III,0,0.001,6.210694444440000,70.843055555600000
90750,1057,556,0.001,158.70,16.65,43,0.87,0.11,0.99,0.11,16.4,0.57,d,1,II,0,0.001,6.185666666670000,55.338055555600000
90751,1079,559,0.001,147.09,22.06,74,0.86,0.09,0.67,0.09,16.8,0.43,dm,2,II,2,0.001,6.344083333330000,67.493888888900000
90752,1082,562,0.001,167.76,14.66,114,0.77,0.10,0.81,0.13,16.7,0.64,c,0,II,1,0.001,6.369722222220000,46.556111111100000
90753,1083,564,0.001,158.53,18.51,14,1.03,0.10,0.99,0.10,16.6,0.41,cd,0,III,0,0.001,6.381861111110000,56.202500000000000
90754,1092,565,0.001,161.26,17.95,129,0.85,0.11,0.85,0.15,16.6,0.49,bc,0,II,0,0.001,6.431194444440000,53.583055555600000
90756,1110,573,0.001,155.52,21.21,177,0.92,0.11,0.92,0.13,16.7,0.37,c,1,III,2,"Companion 0.3 at 0.8 S",6.582388888890000,59.776111111100000
90757,1113,575,0.001,150.47,22.70,98,0.91,0.09,0.88,0.09,16.7,0.41,d,0,II,0,0.001,6.593805555560000,64.688888888900000
90758,1112,576,0.001,161.88,19.20,113,1.55,0.10,1.56,0.10,16.1,0.46,d,0,II,1,"Knotty.Sp.gal.0.8 at 2.0 S",6.586638888890000,53.478333333300000
90759,1115,577,0.001,162.79,19.10,47,1.46,0.15,1.46,0.16,16.0,0.39,c,0,III,2,0.001,6.608611111110000,52.635000000000000
90760,1119,578,0.001,158.13,20.98,10,1.00,0.12,1.00,0.15,16.4,0.26,c,0,II,1,"Curved ends",6.650055555560000,57.382777777800000
90761,1122,580,0.001,170.00,17.38,39,1.34,0.12,1.04,0.15,16.3,0.48,c,0,II,0,0.001,6.690472222220000,45.619444444400000
90762,1134,582,0.001,131.20,26.83,37,0.82,0.11,0.82,0.13,16.6,0.24,c,0,II,0,"Star projected",6.828527777780000,82.627777777800000
90763,1129,583,0.001,147.13,24.55,129,1.04,0.10,1.00,0.11,16.5,0.21,c,0,II,0,"Sharp red nucleus",6.769944444440000,68.101944444400000
90764,1139,584,0.001,132.18,26.83,144,0.73,0.10,0.58,0.09,16.9,0.24,cd,0,II,0,0.001,6.861194444440000,81.755833333300000
90765,1138,587,0.001,170.69,18.88,157,0.78,0.08,0.67,0.08,17.1,0.44,dm,1,III,0,Knotty,6.845611111110000,45.532500000000000
90766,1144,588,0.001,147.32,25.24,91,0.90,0.10,0.93,0.10,16.6,0.19,c,2,II,0,0.001,6.897333333330000,68.071388888900000
90767,1153,593,0.001,147.12,25.69,50,0.77,0.09,0.84,0.09,16.9,0.16,c,1,III,0,0.001,6.969944444440000,68.322777777800000
90768,1158,595,0.001,176.84,19.26,48,0.73,0.10,0.71,0.11,16.8,0.37,d,0,II,2,0.001,7.057333333330000,40.188055555600000
90769,1161,598,0.001,172.55,21.33,22,0.95,0.11,0.86,0.10,16.6,0.43,d,0,III,1,0.001,7.118333333330000,44.662777777800000
90770,1168,602,0.001,161.71,24.62,9,0.82,0.11,0.81,0.12,16.6,0.26,bc,0,II,1,"Sp. gal. 0.7 at 3.0 E",7.175611111110000,55.153611111100000
90771,1164,603,0.001,193.36,14.40,148,0.90,0.11,0.52,0.11,17.0,0.23,c,2,III,0,"Blue.Inter.w.comp.gal.at 0.9S",7.163722222220000,23.716666666700000
90772,1169,606,0.001,179.43,19.86,84,1.15,0.10,1.01,0.10,16.5,0.26,cd,1,II,5,"Badge on the W end",7.175861111110000,38.089166666700000
90773,1173,607,0.001,167.70,23.42,174,0.76,0.10,0.77,0.11,16.7,0.31,cd,1,II,0,0.001,7.191333333330000,49.561111111100000
90774,1186,612,0.001,186.16,18.76,165,1.01,0.12,0.86,0.13,16.6,0.31,bc,0,III,1,0.001,7.269944444440000,31.749444444400000
90775,1188,613,0.001,185.00,19.26,61,1.03,0.13,1.01,0.11,16.4,0.25,cd,0,III,2,"UGC 3774 at 5.0 W",7.276944444440000,32.957222222200000
90776,1189,614,0.001,187.66,18.32,61,0.91,0.09,0.83,0.09,16.9,0.28,d,0,III,0,"Br.star proj.on the nucleus",7.278194444440000,30.264444444400000
90777,1197,616,0.001,153.88,26.91,4,0.78,0.11,0.76,0.11,16.6,0.27,cd,1,II,0,0.001,7.305333333330000,62.500000000000000
90778,1191,618,0.001,195.22,15.52,133,1.24,0.15,1.21,0.17,16.2,0.24,bc,1,III,2,0.001,7.290055555560000,22.513333333300000
90779,1199,623,0.001,203.80,12.12,3,0.88,0.10,0.86,0.11,16.6,0.46,dm,1,II,1,0.001,7.314138888890000,13.524722222200000
90780,1209,627,0.001,184.01,20.99,154,0.82,0.11,0.78,0.13,16.8,0.21,bc,0,III,1,0.001,7.381722222220000,34.415000000000000
90782,1221,631,0.001,160.54,27.55,89,0.77,0.10,0.77,0.11,16.7,0.31,c,0,II,1,0.001,7.496805555560000,56.718888888900000
90783,1219,632,0.001,190.52,20.12,140,0.88,0.11,0.69,0.11,16.7,0.19,c,0,II,0,0.001,7.480611111110000,28.388888888900000
90784,1223,634,0.001,198.72,18.13,116,0.64,0.08,0.60,0.09,17.1,0.22,d,0,II,0,0.001,7.556805555560000,20.460277777800000
90785,1227,636,0.001,176.99,25.58,48,0.78,0.11,0.65,0.11,16.8,0.22,c,1,II,1,0.001,7.595055555560000,41.913611111100000
90786,1228,641,0.001,195.86,19.98,41,0.67,0.09,0.72,0.09,17.0,0.20,cd,1,III,2,Distant,7.605333333330000,23.664166666700000
90787,1230,643,0.001,192.57,21.32,48,0.63,0.08,0.58,0.09,17.1,0.19,m,2,II,1,0.001,7.616138888890000,27.014166666700000
90788,1238,644,0.001,152.49,29.31,135,0.81,0.11,0.67,0.11,16.9,0.22,bc,0,III,1,"Red nucleus",7.642861111110000,63.935277777800000
90789,1235,645,0.001,187.34,23.23,159,1.12,0.15,1.06,0.15,16.3,0.18,c,1,III,0,0.001,7.630194444440000,32.213055555600000
90790,1246,647,0.001,153.98,29.54,9,0.83,0.10,0.86,0.11,16.6,0.26,d,1,II,1,0.001,7.685333333330000,62.648055555600000
90791,1252,653,0.001,156.91,29.85,18,0.81,0.10,0.84,0.11,16.6,0.21,d,0,II,0,"Very fine blue knots",7.747333333330000,60.123611111100000
90792,1255,656,0.001,181.10,26.51,9,1.30,0.15,0.87,0.15,16.2,0.22,bc,0,II,4,0.001,7.755333333330000,38.580000000000000
90793,1254,657,0.001,186.06,25.25,11,0.88,0.11,0.86,0.12,16.6,0.20,c,2,II,2,0.001,7.755333333330000,33.942222222200000
90794,1253,658,0.001,207.82,17.35,67,0.99,0.10,0.99,0.12,16.5,0.15,c,1,II,1,0.001,7.751333333330000,12.223055555600000
90795,1260,661,0.001,191.75,24.25,111,0.72,0.10,0.59,0.10,17.0,0.13,cd,0,III,0,Distant,7.804388888890000,28.715277777800000
90796,1262,663,0.001,183.67,26.63,178,1.05,0.12,0.87,0.13,16.4,0.29,c,1,II,0,0.001,7.814666666670000,36.390000000000000
90797,1264,666,0.001,190.04,25.18,21,0.63,0.09,0.49,0.09,17.3,0.19,cd,0,III,2,0.001,7.834722222220000,30.482222222200000
90798,1270,667,0.001,156.39,30.82,72,0.90,0.10,0.69,0.10,16.8,0.20,cd,1,II,1,0.001,7.875138888890000,60.603611111100000
90799,1267,669,0.001,203.18,21.13,160,0.74,0.10,0.67,0.10,16.9,0.22,d,1,III,0,0.001,7.866527777780000,17.757777777800000
90800,1271,672,0.001,196.85,23.64,40,1.00,0.11,1.01,0.12,16.4,0.29,c,0,II,1,0.001,7.878722222220000,24.122222222200000
90801,1274,675,0.001,180.22,28.39,90,0.99,0.11,0.96,0.11,16.4,0.24,d,1,II,1,0.001,7.895944444440000,39.782777777800000
90802,1278,676,0.001,166.82,30.53,23,1.04,0.10,1.04,0.11,16.6,0.22,cd,0,III,1,0.001,7.911000000000000,51.643611111100000
90803,1276,677,0.001,187.90,26.72,83,0.84,0.11,0.77,0.11,16.6,0.28,c,1,II,0,0.001,7.905666666670000,32.774444444400000
90804,1280,681,0.001,176.74,29.30,127,0.78,0.09,0.84,0.10,16.8,0.18,cd,0,II,2,0.001,7.918611111110000,42.957777777800000
90805,1281,682,0.001,172.96,29.90,82,0.72,0.10,0.71,0.11,16.8,0.29,cd,1,II,1,0.001,7.920138888890000,46.300833333300000
90806,1279,683,0.001,183.95,27.84,10,0.86,0.12,0.85,0.11,16.6,0.18,c,1,III,0,0.001,7.916861111110000,36.463333333300000
90807,1285,684,0.001,192.29,25.79,148,0.96,0.08,0.78,0.09,17.0,0.16,d,0,III,2,"Compan. at 3.0 NW",7.928000000000000,28.741944444400000
90808,1287,685,0.001,186.31,27.50,31,0.81,0.11,0.80,0.10,16.7,0.19,cd,1,III,0,0.001,7.934611111110000,34.353888888900000
90809,1286,686,0.001,202.58,22.34,26,0.80,0.10,0.67,0.11,16.8,0.19,c,1,II,0,0.001,7.930138888890000,18.735277777800000
90810,1289,687,0.001,203.12,22.30,58,0.90,0.12,0.78,0.22,16.7,0.17,c,1,III,1,0.001,7.940722222220000,18.262500000000000
90811,1293,689,0.001,184.90,28.13,165,1.19,0.10,1.06,0.10,16.4,0.18,d,1,II,0,0.001,7.957722222220000,35.720833333300000
90812,1296,691,0.001,191.62,26.58,60,0.97,0.10,0.97,0.10,16.8,0.20,cd,1,IV,0,"Compan. at 1.0 NE. Arched",7.970944444440000,29.553611111100000
90813,1303,692,0.001,149.53,31.61,157,0.87,0.10,0.80,0.10,16.7,0.19,cd,0,II,0,0.001,8.014666666670000,66.449722222200000
90814,1304,698,0.001,191.43,27.24,150,0.60,0.07,0.65,0.08,17.3,0.22,cd,1,III,1,0.001,8.015527777780000,29.922500000000000
90815,1302,699,0.001,212.97,19.31,51,0.97,0.10,0.67,0.10,16.7,0.07,d,0,II,0,"Compan. at 1.0 W",8.013333333330000,8.639722222220000
90816,1311,705,0.001,176.30,31.06,168,0.99,0.10,0.68,0.10,16.8,0.22,m,1,III,1,"Knotty. Sp.gal. 1.0 at 3.0 S",8.071333333330000,43.638055555600000
90817,1313,706,0.001,185.00,29.60,20,0.96,0.09,0.96,0.10,16.6,0.21,d,1,II,0,0.001,8.076666666670000,35.998055555600000
90818,1316,710,0.001,181.04,30.55,127,0.96,0.11,0.93,0.11,16.5,0.19,cd,0,II,0,0.001,8.092000000000000,39.546111111100000
90819,1317,711,0.001,163.63,32.48,22,0.78,0.10,0.81,0.11,16.7,0.18,c,1,II,0,0.001,8.104666666670000,54.494722222200000
90820,1320,712,0.001,172.10,32.03,129,0.75,0.10,0.53,0.10,16.9,0.17,cd,1,II,1,"= FGC 713",8.111861111110000,47.312500000000000
90822,1328,714,0.001,142.99,31.76,159,0.96,0.11,1.00,0.12,16.6,0.12,bc,0,III,1,"Compact red nucleus",8.169472222220000,71.961944444400000
90823,1327,715,0.001,154.05,32.83,53,0.78,0.11,0.67,0.11,16.9,0.26,c,1,III,0,0.001,8.163277777780000,62.554166666700000
90824,1333,716,0.001,142.25,31.74,170,0.87,0.08,0.91,0.07,16.9,0.09,d,1,III,0,0.001,8.188000000000000,72.583888888900000
90825,1326,719,0.001,203.01,25.57,31,0.92,0.11,0.87,0.12,16.6,0.14,bc,1,II,3,"Compact compan.at 0.8 NE",8.152055555560000,19.578611111100000
90826,1331,721,0.001,169.51,32.93,121,0.86,0.10,0.78,0.10,16.8,0.19,d,1,III,0,"Slightly curved",8.184388888890000,49.583611111100000
90827,1330,722,0.001,182.19,31.39,166,0.80,0.09,0.75,0.10,17.0,0.19,c,0,III,0,0.001,8.179055555560000,38.747500000000000
90828,1332,723,0.001,181.18,31.65,68,0.81,0.11,0.75,0.11,16.6,0.20,cd,1,II,1,0.001,8.186861111110000,39.638333333300000
90829,1346,725,0.001,143.98,32.32,63,0.94,0.09,0.81,0.09,16.7,0.11,d,0,II,1,0.001,8.254333333330000,71.038055555600000
90830,1341,728,0.001,160.16,33.61,86,0.88,0.11,0.85,0.11,16.5,0.19,cd,0,II,1,0.001,8.236333333330000,57.411944444400000
90831,1338,729,0.001,201.96,26.98,45,0.76,0.10,0.76,0.10,16.7,0.20,d,0,II,0,"Slightly S-shaped",8.221472222220000,20.966111111100000
90832,1345,731,0.001,153.15,33.37,129,0.67,0.09,0.67,0.11,17.0,0.22,bc,1,II,1,0.001,8.250666666670000,63.261944444400000
90833,1342,732,0.001,180.01,32.42,3,0.77,0.09,0.85,0.10,16.7,0.20,d,0,II,1,0.001,8.238000000000000,40.746944444400000
90834,1352,733,0.001,145.59,32.75,132,0.63,0.08,0.67,0.09,17.2,0.14,c,1,III,0,0.001,8.290000000000000,69.625000000000000
