"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
3218,213,108,3218,123.66,-26.10,179,1.36,0.13,1.19,0.13,16.2,0.23,cd,2,III,0,0.001,0.911527777778000,36.764722222200000
3258,216,105E,3258,302.29,-52.43,145,1.18,0.16,1.24,0.16,16.1,0.08,c,0,III,0,Diffuse,0.918666666667000,-64.691111111100000
3286,218,106E,3286,300.89,-69.85,99,0.99,0.13,1.05,0.13,16.3,0.05,bc,0,II,1,0.001,0.926277777778000,-47.261944444400000
3369,219,108E,3369,301.37,-61.77,86,0.99,0.10,0.97,0.10,16.5,0.06,cd,1,II,2,"Slightly curved",0.943944444444000,-55.338055555600000
3422,222,109E,3422,298.89,-74.41,119,1.04,0.09,0.78,0.11,16.7,0.04,cd,0,II,2,"Faint ends",0.955722222222000,-42.671111111100000
3454,223,111,3454,127.15,-67.93,90,1.57,0.21,1.50,0.24,15.6,0.24,b,2,II,4,"Probable member of group",0.963277777778000,-5.112500000000000
3503,225,112,3503,124.26,-17.85,134,1.16,0.09,1.04,0.09,16.7,0.49,d,0,III,0,0.001,0.976361111111000,45.005000000000000
3535,226,113,3535,130.99,-76.51,113,1.23,0.13,1.23,0.15,16.2,0.10,cd,0,III,1,0.001,0.985944444444000,-13.763888888900000
3552,227,114E,3552,301.13,-56.74,29,0.69,0.09,0.70,0.10,17.1,0.06,c,0,III,2,"Curved ends",0.990388888889000,-60.356111111100000
3569,229,114,3569,125.96,-48.10,5,1.19,0.11,1.01,0.11,16.4,0.31,d,1,II,0,0.001,0.996888888889000,14.723333333300000
3594,232,116E,3594,173.68,-87.44,25,0.90,0.10,0.97,0.11,16.6,0.16,c,1,II,1,"F.tail to LSB compan.Curved",1.003472222220000,-25.493888888900000
3629,233,121E,3629,302.72,-31.60,51,1.81,0.17,1.56,0.19,15.7,0.45,c,1,II,0,"Knots. LSB companion",1.012222222220000,-85.523333333300000
3643,234,116,3643,126.87,-53.07,137,1.68,0.15,1.55,0.13,15.7,0.15,dm,2,II,0,0.001,1.017388888890000,9.725000000000000
3669,236,117E,3669,294.65,-76.56,45,0.85,0.09,0.97,0.09,16.7,0.06,c,0,II,4,0.001,1.025277777780000,-40.403888888900000
3672,237,118E,3672,300.56,-57.34,63,1.81,0.16,1.55,0.16,15.9,0.09,bc,0,III,0,"Thin very curved arms",1.026472222220000,-59.741944444400000
3743,238,119E,3743,301.04,-51.48,145,3.26,0.41,3.48,0.53,14.1,0.08,cd,0,I,0,"Dust. Knots",1.047611111110000,-65.610000000000000
3787,241,119,3787,126.04,-31.60,173,1.01,0.12,1.01,0.13,16.4,0.23,c,1,II,1,0.001,1.063527777780000,31.198055555600000
3887,243,122E,3887,173.25,-85.80,157,0.76,0.10,0.70,0.11,16.8,0.08,c,0,II,0,Knots,1.093805555560000,-24.403055555600000
3995,249,131E,3995,301.80,-39.63,177,0.73,0.09,0.73,0.11,16.9,0.23,c,0,II,0,"Diffuse LSB arms.Star n.nucl.",1.126277777780000,-77.463333333300000
4010,252,129E,4010,298.74,-58.92,21,1.01,0.12,0.98,0.12,16.4,0.09,cd,0,II,0,"V. curved ends",1.130138888890000,-58.076944444400000
4063,255,124,4063,131.79,-60.93,118,4.65,0.30,4.14,0.31,14.3,0.10,cd,0,II,0,0.001,1.143611111110000,1.641388888890000
4114,260,133E,4114,267.66,-83.47,42,0.96,0.13,0.89,0.12,16.2,0.09,bc,0,I,0,0.001,1.154527777780000,-32.386111111100000
4148,261,128,4148,128.74,-41.89,165,1.85,0.12,1.79,0.13,15.8,0.20,d,0,II,0,0.001,1.165611111110000,20.771388888900000
4172,263,137E,4172,297.54,-60.81,126,1.18,0.16,1.16,0.21,16.1,0.09,d,0,III,0,Diffuse,1.172000000000000,-56.121944444400000
4179,265,134E,4179,293.27,-70.20,22,0.89,0.10,0.97,0.11,16.6,0.04,c,0,II,2,0.001,1.173527777780000,-46.571944444400000
4278,268,131,4278,128.91,-39.42,175,0.95,0.12,0.92,0.12,16.4,0.17,c,0,II,1,"Compact gal.0.37 at 0.7 SW",1.192000000000000,23.216111111100000
4365,274,141E,4365,255.30,-83.80,5,1.49,0.17,1.62,0.19,15.7,0.11,c,1,II,1,"V.f. fluffy ends",1.213861111110000,-31.201111111100000
4387,278,136,4387,127.97,-27.69,11,1.10,0.10,1.06,0.11,16.6,0.21,cd,1,III,0,0.001,1.220138888890000,34.966111111100000
4430,279,137,4430,130.23,-43.38,141,1.15,0.12,1.31,0.17,16.3,0.21,bc,0,III,1,0.001,1.231388888890000,19.176944444400000
4457,282,139,4457,126.69,-12.48,26,1.10,0.11,0.99,0.11,16.4,0.84,d,0,II,1,0.001,1.239750000000000,50.227500000000000
